Date,Temp_Max(° F),Temp_Avg(° F),Temp_Min(° F),Dew_Max(° F),Dew_Avg(° F),Dew_Min(° F),Humidity_Max(%),Humidity_Avg(%),Humidity_Min(%),Wind_Speed_Max(mph),Wind_Speed_Avg(mph),Wind_Speed_Min(mph),Pressure_Max(Hg),Pressure_Avg(Hg),Pressure_Min(Hg),Precipitation(in)
2020-07-01,      66, 60.5, 55,        57, 54.6, 52,      94, 81.5, 64,     12, 5.8, 0,      29.6, 29.5, 29.5,   0.00,   Liverpool,  England,    UK
2020-07-02,      64, 58.8, 55,        59, 54.7, 50,      100, 87.1, 72,    16, 8.0, 0,      29.9, 29.7, 29.6,   0.00,   Liverpool,  England,    UK
2020-07-03,      64, 60.0, 55,        59, 54.4, 50,      94, 81.8, 73,     23, 14.9, 6,     29.9, 29.7, 29.6,   0.00,   Liverpool,  England,    UK
2020-07-04,      66, 63.2, 61,        61, 57.9, 57,      94, 83.5, 77,     23, 11.8, 5,     29.6, 29.6, 29.5,   0.00,   Liverpool,  England,    UK
2020-07-05,      64, 60.4, 55,        59, 50.6, 45,      88, 71.0, 59,     32, 21.9, 13,    29.8, 29.6, 29.5,   0.00,   Liverpool,  England,    UK
2020-07-06,      63, 58.2, 55,        54, 49.2, 46,      88, 72.6, 55,     29, 20.0, 9,     30.1, 30.0, 29.8,   0.00,   Liverpool,  England,    UK
2020-07-07,      57, 55.6, 54,        55, 52.4, 50,      100, 87.8, 77,    9,   6.0, 1,     30.1, 30.0, 29.8,   0.00,   Liverpool,  England,    UK
2020-07-08,      61, 57.4, 54,        57, 55.4, 54,      100, 93.4, 82,    13, 8.4, 3,      29.9, 29.8, 29.8,   0.00,   Liverpool,  England,    UK
2020-07-09,      61, 57.1, 54,        59, 54.1, 52,      100, 89.5, 77,    17, 10.1, 3,     29.9, 29.8, 29.7,   0.00,   Liverpool,  England,    UK
2020-07-10,     63, 57.4, 54,        54, 49.0, 48,      88, 74.1, 59,     22, 15.9, 7,     30.1, 30.0, 29.9,   0.00,   Liverpool,  England,    UK
2020-07-11,     63, 58.0, 54,        52, 47.0, 43,      82, 67.4, 52,     16, 10.8, 3,     30.3, 30.2, 30.1,   0.00,   Liverpool,  England,    UK
2020-07-12,     70, 59.3, 46,        52, 47.6, 45,      93, 67.0, 46,     12, 5.5, 1,      30.3, 30.2, 30.2,   0.00,   Liverpool,  England,    UK
2020-07-13,     66, 61.7, 59,        61, 55.7, 50,      94, 81.2, 68,     14, 9.5, 5,      30.2, 30.1, 30.0,   0.00,   Liverpool,  England,    UK
2020-07-14,     61, 58.1, 55,        57, 51.5, 48,      100, 78.9, 68,    15, 11.5, 7,     30.0, 29.9, 29.9,   0.00,   Liverpool,  England,    UK
2020-07-15,     61, 58.1, 55,        57, 55.7, 54,      100, 92.5, 82,    16, 12.3, 3,     30.0, 29.9, 29.9,   0.00,   Liverpool,  England,    UK
2020-07-16,     68, 62.9, 59,        61, 58.3, 55,      94, 85.8, 73,     15, 11.3, 5,     30.1, 30.0, 30.0,   0.00,   Liverpool,  England,    UK
2020-07-17,     73, 65.6, 59,        61, 58.2, 55,      88, 77.6, 61,     14, 8.8, 3,      30.0, 30.0, 30.0,   0.00,   Liverpool,  England,    UK
2020-07-18,     64, 61.3, 57,        61, 57.5, 52,      100, 87.7, 77,    12, 8.3, 3,      30.0, 29.9, 29.9,   0.00,   Liverpool,  England,    UK
2020-07-19,     63, 58.5, 54,        52, 48.5, 46,      88, 70.5, 55,     16, 9.8, 5,      30.1, 30.0, 29.9,   0.00,   Liverpool,  England,    UK
2020-07-20,     64, 58.6, 54,        52, 46.2, 43,      77, 63.8, 48,     16, 9.4, 2,      30.2, 30.1, 30.1,   0.00,   Liverpool,  England,    UK
2020-07-21,     68, 58.3, 48,        55, 50.4, 46,      94, 75.9, 56,     10, 5.4, 2,      30.2, 30.2, 30.2,   0.00,   Liverpool,  England,    UK
2020-07-22,     68, 60.3, 54,        55, 52.5, 48,      88, 75.9, 60,     14, 7.3, 2,      30.2, 30.1, 30.0,   0.00,   Liverpool,  England,    UK
2020-07-23,     64, 61.3, 57,        61, 57.6, 54,      100, 88.0, 77,    16, 9.6, 7,      30.0, 29.8, 29.8,   0.00,   Liverpool,  England,    UK
2020-07-24,     72, 63.9, 57,        61, 57.5, 54,      100, 81.3, 60,    12, 5.2, 2,      29.8, 29.7, 29.6,   0.00,   Liverpool,  England,    UK
2020-07-25,     66, 63.3, 59,        63, 58.0, 54,      100, 83.3, 68,    18, 10.5, 6,     29.6, 29.6, 29.5,   0.00,   Liverpool,  England,    UK
2020-07-26,     68, 62.3, 57,        55, 53.6, 52,      88, 72.6, 60,     20, 13.2, 7,     29.7, 29.6, 29.6,   0.00,   Liverpool,  England,    UK
2020-07-27,     66, 60.5, 57,        63, 56.1, 50,      94, 86.1, 68,     23, 14.2, 7,     29.7, 29.5, 29.4,   0.00,   Liverpool,  England,    UK
2020-07-28,     63, 59.0, 55,        54, 50.1, 46,      88, 72.8, 59,     26, 19.1, 10,    29.9, 29.8, 29.6,   0.00,   Liverpool,  England,    UK
2020-07-29,     64, 60.0, 57,        54, 49.6, 45,      82, 69.0, 59,     17, 8.9, 0,      30.0, 30.0, 29.9,   0.00,   Liverpool,  England,    UK
2020-07-30,     81, 66.9, 57,        59, 55.3, 52,      100, 69.5, 39,    10, 7.6, 3,      30.0, 29.9, 29.8,   0.00,   Liverpool,  England,    UK
2020-07-31,     88, 70.9, 59,        63, 57.1, 52,      83, 63.1, 38,     16, 8.3, 1,      29.8, 29.7, 29.6,   0.00,   Liverpool,  England,    UK
